timestamp,x,y,z,vx,vy,vz,roll,pitch,yaw
14.75,-9.00013,8.99957,0.182462,-0.00479468,-0.00222517,-0.00387408,1.1545e-05,-2.21359e-05,-0.0201889
14.76,-9.00013,8.99957,0.182462,0.00491724,0.00226388,-0.00386045,-1.1475e-05,2.44677e-05,-0.0202045
14.77,-9.00013,8.99957,0.182462,-0.00479474,-0.00222504,-0.00387409,1.15451e-05,-2.21359e-05,-0.0202189
14.78,-9.00013,8.99957,0.182462,0.00491731,0.00226375,-0.00386045,-1.1475e-05,2.44678e-05,-0.0202345
14.79,-9.00014,8.99957,0.182462,-0.00479481,-0.00222491,-0.0038741,1.15452e-05,-2.21359e-05,-0.020249
14.8,-9.00013,8.99957,0.182462,0.00491738,0.00226361,-0.00386046,-1.14751e-05,2.44678e-05,-0.0202646
14.81,-9.00014,8.99957,0.182462,-0.00479487,-0.00222478,-0.00387411,1.15453e-05,-2.21359e-05,-0.020279
14.82,-9.00013,8.99957,0.182462,0.00491745,0.00226348,-0.00386047,-1.14752e-05,2.44679e-05,-0.0202946
14.83,-9.00014,8.99957,0.182462,-0.00479494,-0.00222465,-0.00387412,1.15454e-05,-2.21359e-05,-0.020309
14.86,-9.00013,8.99957,0.182462,0.00491759,0.00226322,-0.00386049,-1.14754e-05,2.4468e-05,-0.0203546
14.87,-9.00014,8.99957,0.182462,-0.00479507,-0.00222439,-0.00387414,1.15456e-05,-2.21359e-05,-0.020369
14.88,-9.00013,8.99957,0.182462,0.00491766,0.00226308,-0.0038605,-1.14755e-05,2.44681e-05,-0.0203846
14.89,-9.00014,8.99957,0.182462,-0.00479514,-0.00222426,-0.00387415,1.15457e-05,-2.21359e-05,-0.020399
14.9,-9.00013,8.99957,0.182462,0.00491773,0.00226295,-0.00386051,-1.14755e-05,2.44681e-05,-0.0204146
14.91,-9.00014,8.99957,0.182462,-0.0047952,-0.00222413,-0.00387415,1.15458e-05,-2.21359e-05,-0.020429
14.92,-9.00013,8.99957,0.182462,0.0049178,0.00226282,-0.00386052,-1.14756e-05,2.44682e-05,-0.0204446
14.93,-9.00014,8.99957,0.182462,-0.00479527,-0.00222401,-0.00387416,1.15459e-05,-2.21358e-05,-0.0204591
14.94,-9.00013,8.99957,0.182462,0.00491786,0.00226269,-0.00386052,-1.14757e-05,2.44682e-05,-0.0204747
14.95,-9.00014,8.99956,0.182462,-0.00479533,-0.00222388,-0.00387417,1.15461e-05,-2.21358e-05,-0.0204891
14.96,-9.00013,8.99957,0.182462,0.00491793,0.00226255,-0.00386053,-1.14758e-05,2.44683e-05,-0.0205047
14.97,-9.00014,8.99956,0.182462,-0.0047954,-0.00222375,-0.00387418,1.15462e-05,-2.21358e-05,-0.0205191
14.98,-9.00013,8.99957,0.182462,0.004918,0.00226242,-0.00386054,-1.14759e-05,2.44683e-05,-0.0205347
