timestamp,x,y,z,vx,vy,vz,roll,pitch,yaw
15.152,8.99987,8.99956,0.182462,0.00491922,0.00226012,-0.00386069,-1.14773e-05,2.44693e-05,-0.0210569
15.162,8.99986,8.99955,0.182462,-0.0047966,-0.00222137,-0.00387434,1.15481e-05,-2.21357e-05,-0.0210713
15.172,8.99987,8.99956,0.182462,0.00491928,0.00225999,-0.0038607,-1.14774e-05,2.44693e-05,-0.0210869
15.182,8.99986,8.99955,0.182462,-0.00479666,-0.00222124,-0.00387435,1.15482e-05,-2.21357e-05,-0.0211013
15.192,8.99987,8.99955,0.182462,0.00491935,0.00225985,-0.00386071,-1.14775e-05,2.44694e-05,-0.0211169
15.202,8.99986,8.99955,0.182462,-0.00479673,-0.00222112,-0.00387436,1.15483e-05,-2.21357e-05,-0.0211313
15.212,8.99987,8.99955,0.182462,0.00491942,0.00225972,-0.00386072,-1.14776e-05,2.44694e-05,-0.0211469
15.222,8.99986,8.99955,0.182462,-0.00479679,-0.00222099,-0.00387437,1.15484e-05,-2.21357e-05,-0.0211613
15.232,8.99987,8.99955,0.182462,0.00491949,0.00225959,-0.00386073,-1.14776e-05,2.44695e-05,-0.0211769
15.282,8.99986,8.99955,0.182462,-0.00479699,-0.0022206,-0.00387439,1.15487e-05,-2.21356e-05,-0.0212513
15.292,8.99987,8.99955,0.182462,0.0049197,0.00225919,-0.00386075,-1.14779e-05,2.44697e-05,-0.0212669
15.302,8.99986,8.99955,0.182462,-0.00479705,-0.00222047,-0.0038744,1.15488e-05,-2.21356e-05,-0.0212813
15.312,8.99987,8.99955,0.182462,0.00491977,0.00225906,-0.00386076,-1.1478e-05,2.44697e-05,-0.0212969
15.322,8.99986,8.99955,0.182462,-0.00479712,-0.00222034,-0.00387441,1.15489e-05,-2.21356e-05,-0.0213113
15.332,8.99987,8.99955,0.182462,0.00491984,0.00225893,-0.00386077,-1.14781e-05,2.44698e-05,-0.0213269
15.342,8.99986,8.99955,0.182462,-0.00479718,-0.00222021,-0.00387442,1.1549e-05,-2.21356e-05,-0.0213413
15.352,8.99987,8.99955,0.182462,0.00491991,0.00225879,-0.00386078,-1.14781e-05,2.44698e-05,-0.0213569
15.362,8.99986,8.99955,0.182462,-0.00479725,-0.00222008,-0.00387443,1.15492e-05,-2.21356e-05,-0.0213713
15.372,8.99987,8.99955,0.182462,0.00491998,0.00225866,-0.00386079,-1.14782e-05,2.44699e-05,-0.0213869
15.382,8.99986,8.99954,0.182462,-0.00479731,-0.00221995,-0.00387444,1.15493e-05,-2.21356e-05,-0.0214014
15.392,8.99987,8.99955,0.182462,0.00492005,0.00225853,-0.0038608,-1.14783e-05,2.44699e-05,-0.0214169
15.402,8.99986,8.99954,0.182462,-0.00479738,-0.00221983,-0.00387445,1.15494e-05,-2.21356e-05,-0.0214314
15.412,8.99987,8.99955,0.182462,0.00492012,0.0022584,-0.00386081,-1.14784e-05,2.447e-05,-0.0214469
15.422,8.99986,8.99954,0.182462,-0.00479744,-0.0022197,-0.00387445,1.15495e-05,-2.21356e-05,-0.0214614
15.432,8.99987,8.99955,0.182462,0.00492019,0.00225826,-0.00386082,-1.14785e-05,2.447e-05,-0.021477
15.442,8.99986,8.99954,0.182462,-0.00479751,-0.00221957,-0.00387446,1.15496e-05,-2.21356e-05,-0.0214914
15.462,8.99986,8.99954,0.182462,-0.00479757,-0.00221944,-0.00387447,1.15497e-05,-2.21356e-05,-0.0215214
15.472,8.99986,8.99955,0.182462,0.00492033,0.002258,-0.00386083,-1.14786e-05,2.44701e-05,-0.021537
15.482,8.99986,8.99954,0.182462,-0.00479764,-0.00221931,-0.00387448,1.15498e-05,-2.21355e-05,-0.0215514
15.492,8.99986,8.99954,0.182462,0.0049204,0.00225787,-0.00386084,-1.14787e-05,2.44702e-05,-0.021567
15.502,8.99986,8.99954,0.182462,-0.0047977,-0.00221918,-0.00387449,1.15499e-05,-2.21355e-05,-0.0215814
15.512,8.99986,8.99954,0.182462,0.00492047,0.00225773,-0.00386085,-1.14788e-05,2.44703e-05,-0.021597
15.522,8.99986,8.99954,0.182462,-0.00479777,-0.00221905,-0.0038745,1.155e-05,-2.21355e-05,-0.0216114
15.532,8.99986,8.99954,0.182462,0.00492054,0.0022576,-0.00386086,-1.14789e-05,2.44703e-05,-0.021627
15.542,8.99986,8.99954,0.182462,-0.00479783,-0.00221892,-0.00387451,1.15501e-05,-2.21355e-05,-0.0216414
15.552,8.99986,8.99954,0.182462,0.00492061,0.00225747,-0.00386087,-1.1479e-05,2.44704e-05,-0.021657
15.572,8.99986,8.99954,0.182462,0.00492068,0.00225734,-0.00386088,-1.14791e-05,2.44704e-05,-0.021687
15.582,8.99985,8.99954,0.182462,-0.00479796,-0.00221866,-0.00387452,1.15503e-05,-2.21355e-05,-0.0217014
15.592,8.99986,8.99954,0.182462,0.00492074,0.0022572,-0.00386089,-1.14791e-05,2.44705e-05,-0.021717
15.602,8.99985,8.99954,0.182462,-0.00479803,-0.00221853,-0.00387453,1.15504e-05,-2.21355e-05,-0.0217314
